thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.4666666666666667)],[np.float64(-0.41888888888888887)],[1],[0],[0],[2.252739167000982],['target'],0,0,0,0,0.04406195899355225,,5,0.028433208994101733,0.04406195899355225,0.04406195899355225,0.028452333994209766,2.2812592499976745,[np.float64(-0.4666666666666667)],[np.float64(-0.41888888888888887)],[1],[0],[0],[2.252739167000982],['target'],P2,001,2025-09-30_15h40.40.147,VisualSearch_NupurShah,,2025.1.1,120.34424517705129,2025-09-30 15h40.54.799545 +0530,
1,0,1,[np.float64(-0.35555555555555557)],[np.float64(0.04777777777777778)],[1],[0],[0],[1.763859583006706],['target'],1,0,1,0,2.306502499995986,,5,2.29582266700163,2.306502499995986,2.306502499995986,0.014326958000310697,4.059755666996352,[np.float64(-0.35555555555555557)],[np.float64(0.04777777777777778)],[1],[0],[0],[1.763859583006706],['target'],P2,001,2025-09-30_15h40.40.147,VisualSearch_NupurShah,,2025.1.1,120.34424517705129,2025-09-30 15h40.54.799545 +0530,
2,0,2,[np.float64(-0.2866666666666667)],[np.float64(-0.24444444444444444)],[1],[0],[0],[1.5359920420014532],['target'],2,0,2,0,4.103812458997709,,10,4.089433874993119,4.103812458997709,4.103812458997709,0.029476208001142368,5.625490374994115,[np.float64(-0.2866666666666667)],[np.float64(-0.24444444444444444)],[1],[0],[0],[1.5359920420014532],['target'],P2,001,2025-09-30_15h40.40.147,VisualSearch_NupurShah,,2025.1.1,120.34424517705129,2025-09-30 15h40.54.799545 +0530,
3,0,3,[np.float64(0.4033333333333333)],[np.float64(-0.027777777777777776)],[1],[0],[0],[1.6300802920013666],['target'],3,0,3,0,5.659292583994102,,10,5.646877459003008,5.659292583994102,5.659292583994102,0.02119683299679309,7.277011041995138,[np.float64(0.4033333333333333)],[np.float64(-0.027777777777777776)],[1],[0],[0],[1.6300802920013666],['target'],P2,001,2025-09-30_15h40.40.147,VisualSearch_NupurShah,,2025.1.1,120.34424517705129,2025-09-30 15h40.54.799545 +0530,
4,0,4,[np.float64(0.4922222222222222)],[np.float64(0.3888888888888889)],[1],[0],[0],[2.3864675420045387],['target'],4,0,4,0,7.301406958998996,,5,7.290204499993706,7.301406958998996,7.301406958998996,0.01302137499442324,9.676755916996626,[np.float64(0.4922222222222222)],[np.float64(0.3888888888888889)],[1],[0],[0],[2.3864675420045387],['target'],P2,001,2025-09-30_15h40.40.147,VisualSearch_NupurShah,,2025.1.1,120.34424517705129,2025-09-30 15h40.54.799545 +0530,
5,0,5,[np.float64(0.31444444444444447)],[np.float64(-0.48)],[1],[0],[0],[1.8503546669962816],['target'],5,0,5,0,9.703984499996295,,5,9.69251708399679,9.703984499996295,9.703984499996295,0.015561457999865524,11.542935916993883,[np.float64(0.31444444444444447)],[np.float64(-0.48)],[1],[0],[0],[1.8503546669962816],['target'],P2,001,2025-09-30_15h40.40.147,VisualSearch_NupurShah,,2025.1.1,120.34424517705129,2025-09-30 15h40.54.799545 +0530,
6,0,6,[np.float64(0.10555555555555556)],[np.float64(-0.052222222222222225)],[1],[0],[0],[1.7673019170033513],['target'],6,0,6,0,11.570480374997715,,5,11.559612375000142,11.570480374997715,11.570480374997715,0.01648254100291524,13.326985874999082,[np.float64(0.10555555555555556)],[np.float64(-0.052222222222222225)],[1],[0],[0],[1.7673019170033513],['target'],P2,001,2025-09-30_15h40.40.147,VisualSearch_NupurShah,,2025.1.1,120.34424517705129,2025-09-30 15h40.54.799545 +0530,
7,0,7,[np.float64(-0.024444444444444446)],[np.float64(0.4288888888888889)],[1],[0],[0],[1.926087457992253],['target'],7,0,7,0,13.354090666995035,,5,13.342732249991968,13.354090666995035,13.354090666995035,0.015545125002972782,15.26891929199337,[np.float64(-0.024444444444444446)],[np.float64(0.4288888888888889)],[1],[0],[0],[1.926087457992253],['target'],P2,001,2025-09-30_15h40.40.147,VisualSearch_NupurShah,,2025.1.1,120.34424517705129,2025-09-30 15h40.54.799545 +0530,
8,0,8,[np.float64(0.13666666666666666)],[np.float64(0.19333333333333333)],[1],[0],[0],[1.5080698329984443],['target'],8,0,8,0,15.313787541992497,,10,15.299894541996764,15.313787541992497,15.313787541992497,0.030708791993674822,16.808006584004033,[np.float64(0.13666666666666666)],[np.float64(0.19333333333333333)],[1],[0],[0],[1.5080698329984443],['target'],P2,001,2025-09-30_15h40.40.147,VisualSearch_NupurShah,,2025.1.1,120.34424517705129,2025-09-30 15h40.54.799545 +0530,
9,0,9,[np.float64(0.35)],[np.float64(-0.24333333333333335)],[1],[0],[0],[1.9237216249894118],['target'],9,0,9,0,16.8286085419968,,5,16.819584833996487,16.8286085419968,16.8286085419968,0.011423332995036617,18.743383166991407,[np.float64(0.35)],[np.float64(-0.24333333333333335)],[1],[0],[0],[1.9237216249894118],['target'],P2,001,2025-09-30_15h40.40.147,VisualSearch_NupurShah,,2025.1.1,120.34424517705129,2025-09-30 15h40.54.799545 +0530,
