reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
9.0,18.0,12.0,0,0,0,l,2.5818171660066582,None,0,0,0,8,0.08108895795885473,,0.07178045797627419,0.08108895795885473,0.9993478329852223,0.9993478329852223,1.0790890409843996,3.829210332944058,l,2.5818171660066582,None,Participant3,001,2025-11-05_11h33.31.658,DelayedDiscounting_NupurShah,,2025.1.1,119.0227645885344,2025-11-05 11h33.47.259922 +0530,
90.0,101.0,190.0,1,1,0,t,1.2162291249842383,None,0,1,1,7,3.8479692499968223,,3.8324262079549953,3.8479692499968223,4.820104374957737,4.820104374957737,4.846500165993348,6.04751112498343,t,1.2162291249842383,None,Participant3,001,2025-11-05_11h33.31.658,DelayedDiscounting_NupurShah,,2025.1.1,119.0227645885344,2025-11-05 11h33.47.259922 +0530,
50.0,69.0,49.0,2,2,0,l,1.2281931249890476,None,0,2,2,9,6.068735665990971,,6.059310665994417,6.068735665990971,7.045065957994666,7.045065957994666,7.062603499973193,8.281234207970556,l,1.2281931249890476,None,Participant3,001,2025-11-05_11h33.31.658,DelayedDiscounting_NupurShah,,2025.1.1,119.0227645885344,2025-11-05 11h33.47.259922 +0530,
78.0,80.0,162.0,3,3,0,t,1.0234751660027541,None,0,3,3,6,8.299056332965847,,8.289808540954255,8.299056332965847,9.278919624979608,9.278919624979608,9.295827957976144,10.304185665969271,t,1.0234751660027541,None,Participant3,001,2025-11-05_11h33.31.658,DelayedDiscounting_NupurShah,,2025.1.1,119.0227645885344,2025-11-05 11h33.47.259922 +0530,
49.0,60.0,89.0,4,4,0,t,1.5797789999633096,None,0,4,4,4,10.320307624991983,,10.311470165965147,10.320307624991983,11.304509999987204,11.304509999987204,11.31179541599704,12.887629082950298,t,1.5797789999633096,None,Participant3,001,2025-11-05_11h33.31.658,DelayedDiscounting_NupurShah,,2025.1.1,119.0227645885344,2025-11-05 11h33.47.259922 +0530,
40.0,55.0,62.0,5,5,0,t,1.7573369999881834,None,0,5,5,3,12.919098832993768,,12.894695540948305,12.919098832993768,13.888067749969196,13.888067749969196,13.912945374962874,15.64812983298907,t,1.7573369999881834,None,Participant3,001,2025-11-05_11h33.31.658,DelayedDiscounting_NupurShah,,2025.1.1,119.0227645885344,2025-11-05 11h33.47.259922 +0530,
27.0,50.0,21.0,6,6,0,l,2.2652495829970576,None,0,6,6,2,15.666178249986842,,15.657168665959034,15.666178249986842,16.645150290976744,16.645150290976744,16.662900374969468,18.914278832962736,l,2.2652495829970576,None,Participant3,001,2025-11-05_11h33.31.658,DelayedDiscounting_NupurShah,,2025.1.1,119.0227645885344,2025-11-05 11h33.47.259922 +0530,
11.0,30.0,7.0,7,7,0,l,0.586756874981802,None,0,7,7,0,18.932232166000176,,18.92339654098032,18.932232166000176,19.912529707944486,19.912529707944486,19.929454332974274,20.504411082947627,l,0.586756874981802,None,Participant3,001,2025-11-05_11h33.31.658,DelayedDiscounting_NupurShah,,2025.1.1,119.0227645885344,2025-11-05 11h33.47.259922 +0530,
15.0,35.0,13.0,8,8,0,l,0.6407010830007493,None,0,8,8,1,20.518337707966566,,20.5102554159821,20.518337707966566,21.504603290988598,21.504603290988598,21.51200029096799,22.14788049994968,l,0.6407010830007493,None,Participant3,001,2025-11-05_11h33.31.658,DelayedDiscounting_NupurShah,,2025.1.1,119.0227645885344,2025-11-05 11h33.47.259922 +0530,
67.0,75.0,119.0,9,9,0,t,1.1112614999874495,None,0,9,9,5,22.164416790998075,,22.155560457962565,22.164416790998075,23.14597833296284,23.14597833296284,23.16289441596018,24.264707333000842,t,1.1112614999874495,None,Participant3,001,2025-11-05_11h33.31.658,DelayedDiscounting_NupurShah,,2025.1.1,119.0227645885344,2025-11-05 11h33.47.259922 +0530,
