study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Police,0,0,0,1.2933333333333332,2.946534166985657,,,,,,,,,,,,0,0,0,12,,,,,0.09837612500996329,,0.026456709019839764,0.09837612500996329,0.09837612500996329,2.9887308340112213,1.2933333333333332,2.946534166985657,,,,,,,,,,,,,,,Participant2,001,2025-10-16_10h51.44.732,WordPriming_NupurShah,,2025.1.1,121.11981322940065,2025-10-16 10h52.00.494803 +0530,
Poster,1,1,0,1.1555555555555554,1.7146950410096906,,,,,,,,,,,,0,1,1,14,,,,,3.0011625840270426,,2.9923370420001447,3.0011625840270426,3.0011625840270426,4.722173125017434,1.1555555555555554,1.7146950410096906,,,,,,,,,,,,,,,Participant2,001,2025-10-16_10h51.44.732,WordPriming_NupurShah,,2025.1.1,121.11981322940065,2025-10-16 10h52.00.494803 +0530,
Keys ,2,2,0,1.1555555555555554,1.114090374991065,,,,,,,,,,,,0,2,2,13,,,,,4.7350422920135316,,4.726134791999357,4.7350422920135316,4.7350422920135316,5.856174875021679,1.1555555555555554,1.114090374991065,,,,,,,,,,,,,,,Participant2,001,2025-10-16_10h51.44.732,WordPriming_NupurShah,,2025.1.1,121.11981322940065,2025-10-16 10h52.00.494803 +0530,
marble,3,3,0,1.1555555555555554,0.7347471670072991,,,,,,,,,,,,0,3,3,3,,,,,5.86795450001955,,5.859260959026869,5.86795450001955,5.86795450001955,6.605502375023207,1.1555555555555554,0.7347471670072991,,,,,,,,,,,,,,,Participant2,001,2025-10-16_10h51.44.732,WordPriming_NupurShah,,2025.1.1,121.11981322940065,2025-10-16 10h52.00.494803 +0530,
Laptop,4,4,0,1.16,0.8494438750203699,,,,,,,,,,,,0,4,4,5,,,,,6.618468125001527,,6.609085084026447,6.618468125001527,6.618468125001527,7.4673113340104464,1.16,0.8494438750203699,,,,,,,,,,,,,,,Participant2,001,2025-10-16_10h51.44.732,WordPriming_NupurShah,,2025.1.1,121.11981322940065,2025-10-16 10h52.00.494803 +0530,
cushion,5,5,0,1.16,0.8026259590114933,,,,,,,,,,,,0,5,5,1,,,,,7.479800459026592,,7.47094775000005,7.479800459026592,7.479800459026592,8.289532709022751,1.16,0.8026259590114933,,,,,,,,,,,,,,,Participant2,001,2025-10-16_10h51.44.732,WordPriming_NupurShah,,2025.1.1,121.11981322940065,2025-10-16 10h52.00.494803 +0530,
mouse,6,6,0,1.1644444444444444,0.8645770000002813,,,,,,,,,,,,0,6,6,8,,,,,8.300521459023003,,8.291831959009869,8.300521459023003,8.300521459023003,9.164295417023823,1.1644444444444444,0.8645770000002813,,,,,,,,,,,,,,,Participant2,001,2025-10-16_10h51.44.732,WordPriming_NupurShah,,2025.1.1,121.11981322940065,2025-10-16 10h52.00.494803 +0530,
book,7,7,0,1.1644444444444444,0.6726183749851771,,,,,,,,,,,,0,7,7,0,,,,,9.175737167010084,,9.166656875022454,9.175737167010084,9.175737167010084,9.84795170900179,1.1644444444444444,0.6726183749851771,,,,,,,,,,,,,,,Participant2,001,2025-10-16_10h51.44.732,WordPriming_NupurShah,,2025.1.1,121.11981322940065,2025-10-16 10h52.00.494803 +0530,
board,8,8,0,1.1644444444444444,0.8593552920210641,,,,,,,,,,,,0,8,8,4,,,,,9.85960312501993,,9.851030667021405,9.85960312501993,9.85960312501993,10.722168084001169,1.1644444444444444,0.8593552920210641,,,,,,,,,,,,,,,Participant2,001,2025-10-16_10h51.44.732,WordPriming_NupurShah,,2025.1.1,121.11981322940065,2025-10-16 10h52.00.494803 +0530,
Pastry,9,9,0,1.1644444444444444,0.8492496660037432,,,,,,,,,,,,0,9,9,9,,,,,10.732888084021397,,10.724481042008847,10.732888084021397,10.732888084021397,11.589497917011613,1.1644444444444444,0.8492496660037432,,,,,,,,,,,,,,,Participant2,001,2025-10-16_10h51.44.732,WordPriming_NupurShah,,2025.1.1,121.11981322940065,2025-10-16 10h52.00.494803 +0530,
