word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.012042582995491102,0.01850774999911664,1.0000762919953559,,,,,,,,,,,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
Blue,blue,C,b,0,0,0,b,1,1.4808384999996633,None,0,0,0,3,1.0176239579959656,,,,,1.0140605830019922,1.0176239579959656,1.4981795419953414,1.4981795419953414,1.4981795419953414,3.187015582996537,b,1,1.4808384999996633,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
RED,red,C,r,1,1,0,r,1,0.7395134170001256,None,0,1,1,0,3.1977144999982556,,,,,3.1913292499957606,3.1977144999982556,3.68317891699553,3.68317891699553,3.68317891699553,4.428164249999099,r,1,0.7395134170001256,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
RED,blue,I,b,2,2,0,b,1,0.7028103749980801,None,0,2,2,1,4.4321641249989625,,,,,4.428589292001561,4.4321641249989625,4.924680749994877,4.924680749994877,4.924680749994877,5.634053957997821,b,1,0.7028103749980801,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
BLUE,red,I,r,3,3,0,r,1,0.656743750005262,None,0,3,3,2,5.645422542002052,,,,,5.638214833001257,5.645422542002052,6.131827541998064,6.131827541998064,6.131827541998064,6.795314874994801,r,1,0.656743750005262,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
Blue,blue,C,b,4,0,1,b,1,0.5579780420011957,None,1,0,4,3,6.803666832995077,,,,,6.7976077499988605,6.803666832995077,7.291405999996641,7.291405999996641,7.291405999996641,7.851114042001427,b,1,0.5579780420011957,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
RED,blue,I,b,5,1,1,b,1,0.48294404100306565,None,1,1,5,1,7.859419916996558,,,,,7.853274499997497,7.859419916996558,8.348625957994955,8.348625957994955,8.348625957994955,8.834685666995938,b,1,0.48294404100306565,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
RED,red,C,r,6,2,1,r,1,0.34740170799341286,None,1,2,6,0,8.84116004200041,,,,,8.835116875001404,8.84116004200041,9.332180207995407,9.332180207995407,9.332180207995407,9.684113750001416,r,1,0.34740170799341286,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
BLUE,red,I,r,7,3,1,r,1,0.4907722920033848,None,1,3,7,2,9.69251783299842,,,,,9.686454999995476,9.69251783299842,10.181782207997458,10.181782207997458,10.181782207997458,10.677929792000214,r,1,0.4907722920033848,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
RED,red,C,r,8,0,2,r,1,0.464812999998685,None,2,0,8,0,10.686090416995285,,,,,10.680042041996785,10.686090416995285,11.174774457998865,11.174774457998865,11.174774457998865,11.644889874994988,r,1,0.464812999998685,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
RED,blue,I,b,9,1,2,b,1,0.4200187919996097,None,2,1,9,1,11.648870666998846,,,,,11.645319874995039,11.648870666998846,12.14151983299962,12.14151983299962,12.14151983299962,12.567645707997144,b,1,0.4200187919996097,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
Blue,blue,C,b,10,2,2,b,1,0.5830853750012466,None,2,2,10,3,12.57599174999632,,,,,12.56992375000118,12.57599174999632,13.06539808299567,13.06539808299567,13.06539808299567,13.650596416999178,b,1,0.5830853750012466,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
BLUE,red,I,r,11,3,2,r,1,0.4755300420001731,None,2,3,11,2,13.659206707998237,,,,,13.652810583000246,13.659206707998237,14.148949166999955,14.148949166999955,14.148949166999955,14.628253457995015,r,1,0.4755300420001731,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
RED,blue,I,b,12,0,3,b,1,0.6906641669993405,None,3,0,12,1,14.63618624999799,,,,,14.630388500001573,14.63618624999799,15.124903707997873,15.124903707997873,15.124903707997873,15.81767695799499,b,1,0.6906641669993405,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
BLUE,red,I,r,13,1,3,r,1,0.6519109169967123,None,3,1,13,2,15.825960207999742,,,,,15.819865958001174,15.825960207999742,16.31567904199619,16.31567904199619,16.31567904199619,16.978232166999078,r,1,0.6519109169967123,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
Blue,blue,C,b,14,2,3,b,1,0.7107062909999513,None,3,2,14,3,16.98672933299531,,,,,16.980630416997883,16.98672933299531,17.47492520800006,17.47492520800006,17.47492520800006,18.194973624995328,b,1,0.7107062909999513,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
RED,red,C,r,15,3,3,r,1,0.5068900830010534,None,3,3,15,0,18.2033881249954,,,,,18.197341332997894,18.2033881249954,18.69168791699485,18.69168791699485,18.69168791699485,19.20101345799776,r,1,0.5068900830010534,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
Blue,blue,C,b,16,0,4,b,1,0.7244600410049316,None,4,0,16,3,19.209543375000067,,,,,19.203187957995397,19.209543375000067,19.6991889169949,19.6991889169949,19.6991889169949,20.428698332994827,b,1,0.7244600410049316,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
BLUE,red,I,r,17,1,4,r,1,0.7136302500002785,None,4,1,17,2,20.436976500001037,,,,,20.43091020800057,20.436976500001037,20.924970749998465,20.924970749998465,20.924970749998465,21.645026707999932,r,1,0.7136302500002785,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
RED,red,C,r,18,2,4,r,1,0.5038343750056811,None,4,2,18,0,21.65309724999679,,,,,21.647238207995542,21.65309724999679,22.141695792000974,22.141695792000974,22.141695792000974,22.65074758300034,r,1,0.5038343750056811,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
RED,blue,I,b,19,3,4,b,1,0.7651001250051195,None,4,3,19,1,22.65794691699557,,,,,22.65117329199711,22.65794691699557,23.14835920799669,23.14835920799669,23.14835920799669,23.917967291999958,b,1,0.7651001250051195,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
Blue,blue,C,b,20,0,5,b,1,0.517735375004122,None,5,0,20,3,23.942152999996324,,,,,23.920310000001336,23.942152999996324,24.41577241699997,24.41577241699997,24.41577241699997,24.94529925000097,b,1,0.517735375004122,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
BLUE,red,I,r,21,1,5,r,1,0.46077545799926156,None,5,1,21,2,24.953959375001432,,,,,24.947966499996255,24.953959375001432,25.44174179199763,25.44174179199763,25.44174179199763,25.912135332997423,r,1,0.46077545799926156,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
RED,red,C,r,22,2,5,r,1,0.6311279170040507,None,5,2,22,0,25.920183458001702,,,,,25.91429291699751,25.920183458001702,26.408418499995605,26.408418499995605,26.408418499995605,27.045325375001994,r,1,0.6311279170040507,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
RED,blue,I,b,23,3,5,b,1,0.5537586249993183,None,5,3,23,1,27.051624791994982,,,,,27.045762832996843,27.051624791994982,27.541732416997547,27.541732416997547,27.541732416997547,28.100882874998206,b,1,0.5537586249993183,None,,,,,P2,001,2025-08-23_18h28.03.556,stroop effect,,2025.1.1,None,2025-08-23 18h28.14.961827 +0530,
