pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.2142467079975177,None,0,0,0,0,,,,,0.026447374999406748,,0.018166458001360297,0.026447374999406748,1.0087679169955663,1.0087679169955663,1.0087679169955663,1.0087679169955663,1.021481624993612,1.9934717919968534,1.9934717919968534,3.439725250005722,x,1,1.2142467079975177,None,,,,,parti4,001,2025-10-02_16h18.12.645,MotorSequenceLearning_NupurShah,,2025.1.1,119.47175659205593,2025-10-02 16h18.27.148750 +0530,
150,v,1,1,0,v,1,1.3778384990000632,None,0,1,1,1,,,,,3.4532070830027806,,3.4400030830001924,3.4532070830027806,4.432535875006579,4.432535875006579,4.432535875006579,4.432535875006579,4.4492030830006115,5.432014457997866,5.432014457997866,6.817305332995602,v,1,1.3778384990000632,None,,,,,parti4,001,2025-10-02_16h18.12.645,MotorSequenceLearning_NupurShah,,2025.1.1,119.47175659205593,2025-10-02 16h18.27.148750 +0530,
50,c,2,2,0,c,1,1.0283998319937382,None,0,2,2,2,,,,,6.827350125007797,,6.817836542002624,6.827350125007797,7.815324916999089,7.815324916999089,7.815324916999089,7.815324916999089,7.822972791997017,8.815380667001591,8.815380667001591,9.850712625004235,c,1,1.0283998319937382,None,,,,,parti4,001,2025-10-02_16h18.12.645,MotorSequenceLearning_NupurShah,,2025.1.1,119.47175659205593,2025-10-02 16h18.27.148750 +0530,
-150,z,3,3,0,z,1,0.6554090819990961,None,0,3,3,3,,,,,9.861438708001515,,9.851297333007096,9.861438708001515,10.84884391700325,10.84884391700325,10.84884391700325,10.84884391700325,10.856949249995523,11.849260292001418,11.849260292001418,12.508000667003216,z,1,0.6554090819990961,None,,,,,parti4,001,2025-10-02_16h18.12.645,MotorSequenceLearning_NupurShah,,2025.1.1,119.47175659205593,2025-10-02 16h18.27.148750 +0530,
-50,x,4,0,1,x,1,0.8086272080108756,None,1,0,4,0,,,,,12.518473167001503,,12.508552333005355,12.518473167001503,13.508365250003408,13.508365250003408,13.508365250003408,13.508365250003408,13.516383833004511,14.507975291999173,14.507975291999173,15.325077582994709,x,1,0.8086272080108756,None,,,,,parti4,001,2025-10-02_16h18.12.645,MotorSequenceLearning_NupurShah,,2025.1.1,119.47175659205593,2025-10-02 16h18.27.148750 +0530,
150,v,5,1,1,v,1,0.3051385409926297,None,1,1,5,1,,,,,15.349363500004984,,15.32560983300209,15.349363500004984,16.3251897500013,16.3251897500013,16.3251897500013,16.3251897500013,16.340715124999406,17.32449495799665,17.32449495799665,17.634180249995552,v,1,0.3051385409926297,None,,,,,parti4,001,2025-10-02_16h18.12.645,MotorSequenceLearning_NupurShah,,2025.1.1,119.47175659205593,2025-10-02 16h18.27.148750 +0530,
50,c,6,2,1,c,1,0.3480060410074657,None,1,2,6,2,,,,,17.644591707998188,,17.63476170800277,17.644591707998188,18.634334957998362,18.634334957998362,18.634334957998362,18.634334957998362,18.641272916996968,19.632614250003826,19.632614250003826,19.984192707997863,c,1,0.3480060410074657,None,,,,,parti4,001,2025-10-02_16h18.12.645,MotorSequenceLearning_NupurShah,,2025.1.1,119.47175659205593,2025-10-02 16h18.27.148750 +0530,
-150,z,7,3,1,z,1,0.6083198330015875,None,1,3,7,3,,,,,19.994202500005485,,19.984961875001318,19.994202500005485,20.982201332997647,20.982201332997647,20.982201332997647,20.982201332997647,20.98984520799422,21.982166792004136,21.982166792004136,22.601087417002418,z,1,0.6083198330015875,None,,,,,parti4,001,2025-10-02_16h18.12.645,MotorSequenceLearning_NupurShah,,2025.1.1,119.47175659205593,2025-10-02 16h18.27.148750 +0530,
-50,x,8,0,2,x,1,0.4192024990043137,None,2,0,8,0,,,,,22.611590542001068,,22.601682833002997,22.611590542001068,23.59894529200392,23.59894529200392,23.59894529200392,23.59894529200392,23.606593375006923,24.59945283300476,24.59945283300476,25.02455016699969,x,1,0.4192024990043137,None,,,,,parti4,001,2025-10-02_16h18.12.645,MotorSequenceLearning_NupurShah,,2025.1.1,119.47175659205593,2025-10-02 16h18.27.148750 +0530,
150,v,9,1,2,v,1,0.3144918750040233,None,2,1,9,1,,,,,25.034784582996508,,25.025071541997022,25.034784582996508,26.0242195000028,26.0242195000028,26.0242195000028,26.0242195000028,26.032253124998533,27.01607066699944,27.01607066699944,27.33400524999888,v,1,0.3144918750040233,None,,,,,parti4,001,2025-10-02_16h18.12.645,MotorSequenceLearning_NupurShah,,2025.1.1,119.47175659205593,2025-10-02 16h18.27.148750 +0530,
