trialNum,validity,targetSide,cueDur_ms,SOA_ms,targetDur_ms,thisN,thisTrialN,thisRepN,response_key.keys,response_key.corr,response_key.rt,response_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,trial.started,left_box.started,right_box.started,fixation.started,cue_arrow.started,left_box.stopped,right_box.stopped,fixation.stopped,target.started,cue_arrow.stopped,response_key.started,trial.stopped,trials.response_key.keys,trials.response_key.corr,trials.response_key.rt,trials.response_key.duration,target.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.010045833012554795,0.01899820804828778,0.01899820804828778,5.038273416052107,space,4.775035500002559,None,,,,,,,,,,,,,,,,,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
22,valid,left,150,150,1000,0,0,0,z,1,0.16488412499893457,None,0,0,0,21,5.087761416041758,,,,,,,,,5.071581416006666,5.087761416041758,5.087761416041758,5.087761416041758,5.5449294580030255,5.586551416025031,5.586551416025031,5.586551416025031,5.639527250023093,5.686654333025217,5.837103875004686,6.0049330410547554,z,1,0.16488412499893457,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
37,valid,left,100,150,1000,1,1,0,z,1,0.4032733330386691,None,0,1,1,36,6.017111666034907,,,,,,,,,6.005914583045524,6.017111666034907,6.017111666034907,6.017111666034907,6.504918250022456,6.512636708037462,6.512636708037462,6.512636708037462,6.604161875031423,6.604161875031423,6.753782250045333,7.164962500042748,z,1,0.4032733330386691,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
28,valid,right,50,150,1000,2,2,0,m,1,0.4094955409527756,None,0,2,2,27,7.19457145803608,,,,,,,,,7.170431458042003,7.19457145803608,7.19457145803608,7.19457145803608,7.663198791036848,7.686317833024077,7.686317833024077,7.686317833024077,7.76263520802604,7.702618750045076,7.86358200001996,8.281740666017868,m,1,0.4094955409527756,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
59,invalid,right,100,150,1000,3,3,0,z,1,0.14998887397814542,None,0,3,3,58,8.295648208004422,,,,,,,,,8.286379000055604,8.295648208004422,8.295648208004422,8.295648208004422,8.779256166017149,8.785441583022475,8.785441583022475,8.785441583022475,8.88031120802043,8.868394333054312,9.030020375037566,9.181853208050597,z,1,0.14998887397814542,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
41,valid,left,50,150,1000,4,4,0,z,1,0.3379256660118699,None,0,4,4,40,9.193101333046798,,,,,,,,,9.182990958041046,9.193101333046798,9.193101333046798,9.193101333046798,9.679993958037812,9.686197166040074,9.686197166040074,9.686197166040074,9.780385333055165,9.719705708033871,9.880075332999695,10.221674958011135,z,1,0.3379256660118699,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
3,valid,right,150,150,1000,5,5,0,m,1,0.34264333301689476,None,0,5,5,2,10.234332125051878,,,,,,,,,10.226068625051994,10.234332125051878,10.234332125051878,10.234332125051878,10.721990458026994,10.729197458014823,10.729197458014823,10.729197458014823,10.82127000001492,10.869557375030126,11.01946650003083,11.365559666010085,m,1,0.34264333301689476,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
92,invalid,right,100,150,1000,6,6,0,z,1,0.3734122920432128,None,0,6,6,91,11.380310875014402,,,,,,,,,11.370442708022892,11.380310875014402,11.380310875014402,11.380310875014402,11.863397916022222,11.869708666054066,11.869708666054066,11.869708666054066,11.963439416023903,11.953403083025478,12.11338820803212,12.498400958022103,z,1,0.3734122920432128,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
16,invalid,right,50,150,1000,7,7,0,m,1,0.30058374896179885,None,0,7,7,15,12.510331250028685,,,,,,,,,12.499415250029415,12.510331250028685,12.510331250028685,12.510331250028685,12.996528500050772,13.003587250015698,13.003587250015698,13.003587250015698,13.089146666054148,13.036209333047736,13.202356625057291,13.50510608300101,m,1,0.30058374896179885,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
76,invalid,right,150,150,1000,8,8,0,m,1,0.30960087396670133,None,0,8,8,75,13.51666187500814,,,,,,,,,13.506036750040948,13.51666187500814,13.51666187500814,13.51666187500814,14.00475954101421,14.012694000033662,14.012694000033662,14.012694000033662,14.104525833041407,14.146712083020248,14.30351175001124,14.61540975002572,m,1,0.30960087396670133,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
25,invalid,right,150,150,1000,9,9,0,m,1,0.06848808302311227,None,0,9,9,24,14.62766737502534,,,,,,,,,14.616469916014466,14.62766737502534,14.62766737502534,14.62766737502534,15.112651041010395,15.119796166021843,15.119796166021843,15.119796166021843,15.212718666007277,15.251987750001717,15.413455666042864,15.488522625004407,m,1,0.06848808302311227,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
88,valid,right,150,150,1000,10,10,0,m,1,0.061138291959650815,None,0,10,10,87,15.501660583016928,,,,,,,,,15.492758750042412,15.501660583016928,15.501660583016928,15.501660583016928,15.988736333034467,15.996852875046898,15.996852875046898,15.996852875046898,16.08006283303257,16.136744750023354,16.286835083039477,16.355766416003462,m,1,0.061138291959650815,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
1,invalid,left,150,150,1000,11,11,0,z,1,0.11748958297539502,None,0,11,11,0,16.366410458052997,,,,,,,,,16.356663916027173,16.366410458052997,16.366410458052997,16.366410458052997,16.85419829102466,16.8634275830118,16.8634275830118,16.8634275830118,16.954656208050437,16.996962333039846,17.153585958003532,17.28210275003221,z,1,0.11748958297539502,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
17,valid,right,50,150,1000,12,12,0,m,1,0.15071029198588803,None,0,12,12,16,17.294057583028916,,,,,,,,,17.28313566604629,17.294057583028916,17.294057583028916,17.294057583028916,17.780421958013903,17.786280250002164,17.786280250002164,17.786280250002164,17.8795106660109,17.81998475000728,17.980203500017524,18.13828870805446,m,1,0.15071029198588803,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
90,invalid,left,150,150,1000,13,13,0,z,1,0.0958336660405621,None,0,13,13,89,18.149064416007604,,,,,,,,,18.1392279160209,18.149064416007604,18.149064416007604,18.149064416007604,18.637588416051585,18.64687400002731,18.64687400002731,18.64687400002731,18.730003708042204,18.780059166019782,18.937060000025667,19.036729750048835,z,1,0.0958336660405621,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
52,valid,left,100,150,1000,14,14,0,z,1,0.18779966700822115,None,0,14,14,51,19.04940900002839,,,,,,,,,19.039785666042008,19.04940900002839,19.04940900002839,19.04940900002839,19.529447708046064,19.54726045805728,19.54726045805728,19.54726045805728,19.630235041026026,19.619912958005443,19.780296750017442,19.971879916032776,z,1,0.18779966700822115,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
62,valid,right,100,150,1000,15,15,0,m,1,0.15312158298911527,None,0,15,15,61,19.98538325005211,,,,,,,,,19.97665562503971,19.98538325005211,19.98538325005211,19.98538325005211,20.471653666056227,20.479994958033785,20.479994958033785,20.479994958033785,20.571699874999467,20.56357616605237,20.720935916004237,20.88223383302102,m,1,0.15312158298911527,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
27,valid,left,100,150,1000,16,16,0,z,1,1.2192096670041792,None,0,16,16,26,20.897580333054066,,,,,,,,,20.88700237503508,20.897580333054066,20.897580333054066,20.897580333054066,21.380106541037094,21.387253125023562,21.387253125023562,21.387253125023562,21.480106791015714,21.470201625023037,21.630219166050665,22.855342083028518,z,1,1.2192096670041792,None,22.470485041034408,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
7,valid,left,150,150,1000,17,17,0,z,1,0.23018625000258908,None,0,17,17,6,22.866604875016492,,,,,,,,,22.856293458025903,22.866604875016492,22.866604875016492,22.866604875016492,23.354103290999774,23.36351137503516,23.36351137503516,23.36351137503516,23.45476587500889,23.49702679103939,23.653923833044246,23.88860091601964,z,1,0.23018625000258908,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
43,invalid,right,50,150,1000,18,18,0,m,1,0.6926412499742582,None,0,18,18,42,23.899609708052594,,,,,,,,,23.889536916045472,23.899609708052594,23.899609708052594,23.899609708052594,24.388021250022575,24.396755875030067,24.396755875030067,24.396755875030067,24.489687749999575,24.43057129101362,24.587474541040137,25.282239333027974,m,1,0.6926412499742582,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
4,invalid,right,150,150,1000,19,19,0,m,1,0.11159129103180021,None,0,19,19,3,25.293548208021093,,,,,,,,,25.283191666007042,25.293548208021093,25.293548208021093,25.293548208021093,25.779576166009065,25.786677666008472,25.786677666008472,25.786677666008472,25.880382125033066,25.920461291039828,26.080411875038408,26.198951166006736,m,1,0.11159129103180021,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
60,invalid,right,150,150,1000,20,20,0,m,1,0.31964970799162984,None,0,20,20,59,26.211059541034047,,,,,,,,,26.200108708057087,26.211059541034047,26.211059541034047,26.211059541034047,26.69700762501452,26.70328400004655,26.70328400004655,26.70328400004655,26.796957583050244,26.837116666021757,26.99736954102991,27.322350958012976,m,1,0.31964970799162984,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
75,valid,left,100,150,1000,21,21,0,z,1,0.41525424900464714,None,0,21,21,74,27.333341041055974,,,,,,,,,27.32328154100105,27.333341041055974,27.333341041055974,27.333341041055974,27.821102083020378,27.830295583000407,27.830295583000407,27.830295583000407,27.92161391605623,27.913849833013956,28.070836583035998,28.48918475001119,z,1,0.41525424900464714,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
68,invalid,right,150,150,1000,22,22,0,m,1,0.09650974901160225,None,0,22,22,67,28.501551166002173,,,,,,,,,28.490239916020073,28.501551166002173,28.501551166002173,28.501551166002173,28.987549291050527,28.997077416046523,28.997077416046523,28.997077416046523,29.08875145803904,29.13039425003808,29.287570125015918,29.388923250022344,m,1,0.09650974901160225,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
42,invalid,right,150,150,1000,23,23,0,m,1,0.29248433298198506,None,0,23,23,41,29.40017895802157,,,,,,,,,29.389882375020534,29.40017895802157,29.40017895802157,29.40017895802157,29.887516833026893,29.897036333044525,29.897036333044525,29.897036333044525,29.988289791042916,30.0303380000405,30.187586833024397,30.482087541022338,m,1,0.29248433298198506,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
26,valid,right,50,150,1000,24,24,0,m,1,0.31452829198678955,None,0,24,24,25,30.496218333020806,,,,,,,,,30.486896333051845,30.496218333020806,30.496218333020806,30.496218333020806,30.98062516603386,30.987635500030592,30.987635500030592,30.987635500030592,31.08085370803019,31.019957666052505,31.18053862504894,31.498997041024268,m,1,0.31452829198678955,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
12,invalid,right,50,150,1000,25,25,0,m,1,0.381815541011747,None,0,25,25,11,31.514164375024848,,,,,,,,,31.504039625055157,31.514164375024848,31.514164375024848,31.514164375024848,31.996975625050254,32.00378637504764,32.00378637504764,32.00378637504764,32.09718250000151,32.03646358300466,32.1972155830008,32.582295583037194,m,1,0.381815541011747,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
55,valid,left,50,150,1000,26,26,0,z,1,0.2565451660193503,None,0,26,26,54,32.593336041027214,,,,,,,,,32.58332645799965,32.593336041027214,32.593336041027214,32.593336041027214,33.08056466601556,33.087583000015,33.087583000015,33.087583000015,33.180484500015154,33.120034750027116,33.28056058305083,33.539535833057016,z,1,0.2565451660193503,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
78,invalid,right,100,150,1000,27,27,0,m,1,0.10138549999101087,None,0,27,27,77,33.55055495805573,,,,,,,,,33.54060325003229,33.55055495805573,33.55055495805573,33.55055495805573,34.03880779101746,34.04646720801247,34.04646720801247,34.04646720801247,34.13872295804322,34.13056833302835,34.287517541029956,34.39905616600299,m,1,0.10138549999101087,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
70,valid,right,100,150,1000,28,28,0,m,1,0.1678197500295937,None,0,28,28,69,34.41455537505681,,,,,,,,,34.40408591600135,34.41455537505681,34.41455537505681,34.41455537505681,34.89688108302653,34.914086333010346,34.914086333010346,34.914086333010346,34.9972282910021,34.98666395799955,35.14711262501078,35.32214700005716,m,1,0.1678197500295937,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
29,valid,right,100,150,1000,29,29,0,m,1,0.08517387497704476,None,0,29,29,28,35.34696608304512,,,,,,,,,35.32289400004083,35.34696608304512,35.34696608304512,35.34696608304512,35.821190000046045,35.83692945801886,35.83692945801886,35.83692945801886,35.92164254101226,35.91436612501275,36.07087775005493,36.16581783303991,m,1,0.08517387497704476,None,,P1,001,2025-11-17_17h41.25.738,PosnerCueing_SoloProject,,2025.1.1,118.13546695771213,2025-11-17 17h41.48.127372 +0530,
