thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.18444444444444444)],[np.float64(-0.25555555555555554)],[1],[0],[0],[2.658127834001789],['target'],0,0,0,0,0.056652375002158806,,10,0.036902833002386615,0.056652375002158806,0.056652375002158806,0.0369244589965092,2.69509133300744,[np.float64(0.18444444444444444)],[np.float64(-0.25555555555555554)],[1],[0],[0],[2.658127834001789],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
1,0,1,[np.float64(-0.3477777777777778)],[np.float64(0.4766666666666667)],[1],[0],[0],[1.9831892919901293],['target'],1,0,1,0,2.7283286250021774,,10,2.7162345410033595,2.7283286250021774,2.7283286250021774,0.02091949999157805,4.699482125011855,[np.float64(-0.3477777777777778)],[np.float64(0.4766666666666667)],[1],[0],[0],[1.9831892919901293],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
2,0,2,[np.float64(-0.19666666666666666)],[np.float64(0.05)],[1],[0],[0],[1.6656695829879027],['target'],2,0,2,0,4.718830625002738,,5,4.709992041010992,4.718830625002738,4.718830625002738,0.010371749987825751,6.375748500009649,[np.float64(-0.19666666666666666)],[np.float64(0.05)],[1],[0],[0],[1.6656695829879027],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
3,0,3,[np.float64(0.19555555555555557)],[np.float64(0.2811111111111111)],[1],[0],[0],[1.3842626670084428],['target'],3,0,3,0,6.402831000013975,,5,6.391535000002477,6.402831000013975,6.402831000013975,0.015583457992761396,7.775871708014165,[np.float64(0.19555555555555557)],[np.float64(0.2811111111111111)],[1],[0],[0],[1.3842626670084428],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
4,0,4,[np.float64(0.41333333333333333)],[np.float64(0.19333333333333333)],[1],[0],[0],[1.369380791002186],['target'],4,0,4,0,7.819851750013186,,10,7.805848000003607,7.819851750013186,7.819851750013186,0.029765749990474433,9.17527454100491,[np.float64(0.41333333333333333)],[np.float64(0.19333333333333333)],[1],[0],[0],[1.369380791002186],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
5,0,5,[np.float64(-0.17444444444444446)],[np.float64(-0.18222222222222223)],[1],[0],[0],[2.0719368339923676],['target'],5,0,5,0,9.19761445801123,,5,9.18755666600191,9.19761445801123,9.19761445801123,0.01210566698864568,11.2595934580022,[np.float64(-0.17444444444444446)],[np.float64(-0.18222222222222223)],[1],[0],[0],[2.0719368339923676],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
6,0,6,[np.float64(0.4633333333333333)],[np.float64(-0.43333333333333335)],[1],[0],[0],[3.972629916999722],['target'],6,0,6,0,11.30173437501071,,10,11.287249083005008,11.30173437501071,11.30173437501071,0.027442749997135252,15.259928833009326,[np.float64(0.4633333333333333)],[np.float64(-0.43333333333333335)],[1],[0],[0],[3.972629916999722],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
7,0,7,[np.float64(0.4222222222222222)],[np.float64(-0.32222222222222224)],[1],[0],[0],[1.3919299999979557],['target'],7,0,7,0,15.29626154100697,,10,15.283435083008953,15.29626154100697,15.29626154100697,0.023327750008320436,16.675416875004885,[np.float64(0.4222222222222222)],[np.float64(-0.32222222222222224)],[1],[0],[0],[1.3919299999979557],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
8,0,8,[np.float64(-0.0811111111111111)],[np.float64(0.3322222222222222)],[1],[0],[0],[1.890286791996914],['target'],8,0,8,0,16.697502083014115,,5,16.68740512500517,16.697502083014115,16.697502083014115,0.011802708002505824,18.577769916009856,[np.float64(-0.0811111111111111)],[np.float64(0.3322222222222222)],[1],[0],[0],[1.890286791996914],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
9,0,9,[np.float64(-0.32222222222222224)],[np.float64(-0.07777777777777778)],[1],[0],[0],[1.4352320420002798],['target'],9,0,9,0,18.620627000011154,,10,18.606425083009526,18.620627000011154,18.620627000011154,0.028447333999793045,20.041708708013175,[np.float64(-0.32222222222222224)],[np.float64(-0.07777777777777778)],[1],[0],[0],[1.4352320420002798],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
10,0,10,[np.float64(0.11666666666666667)],[np.float64(-0.36777777777777776)],[1],[0],[0],[2.206285750013194],['target'],10,0,10,0,20.062685458004125,,5,20.053411375003634,20.062685458004125,20.062685458004125,0.011524249988724478,22.259776541002793,[np.float64(0.11666666666666667)],[np.float64(-0.36777777777777776)],[1],[0],[0],[2.206285750013194],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
11,0,11,[np.float64(0.08555555555555555)],[np.float64(0.05)],[1],[0],[0],[1.784950832996401],['target'],11,0,11,0,22.30340766601148,,10,22.28968420800811,22.30340766601148,22.30340766601148,0.02969629100698512,24.074683166007162,[np.float64(0.08555555555555555)],[np.float64(0.05)],[1],[0],[0],[1.784950832996401],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
12,0,12,[np.float64(-0.0022222222222222222)],[np.float64(-0.44555555555555554)],[1],[0],[0],[2.628522957995301],['target'],12,0,12,0,24.109421125001973,,10,24.097409916008473,24.109421125001973,24.109421125001973,0.022555333998752758,26.725983833006467,[np.float64(-0.0022222222222222222)],[np.float64(-0.44555555555555554)],[1],[0],[0],[2.628522957995301],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
13,0,13,[np.float64(-0.22777777777777777)],[np.float64(-0.48444444444444446)],[1],[0],[0],[1.9217019589996198],['target'],13,0,13,0,26.747858416012605,,5,26.737926500005415,26.747858416012605,26.747858416012605,0.011770583005272783,28.65970925000147,[np.float64(-0.22777777777777777)],[np.float64(-0.48444444444444446)],[1],[0],[0],[1.9217019589996198],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
14,0,14,[np.float64(0.48777777777777775)],[np.float64(-0.04666666666666667)],[1],[0],[0],[2.4006225829944015],['target'],14,0,14,0,28.6863736660016,,5,28.675551125008496,28.6863736660016,28.6863736660016,0.01564299999154173,31.07624316601141,[np.float64(0.48777777777777775)],[np.float64(-0.04666666666666667)],[1],[0],[0],[2.4006225829944015],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
15,0,15,[np.float64(0.3844444444444444)],[np.float64(0.3877777777777778)],[1],[0],[0],[2.4553278750099707],['target'],15,0,15,0,31.117166875003022,,10,31.102966416001436,31.117166875003022,31.117166875003022,0.026501458007260226,33.55834000000323,[np.float64(0.3844444444444444)],[np.float64(0.3877777777777778)],[1],[0],[0],[2.4553278750099707],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
16,0,16,[np.float64(0.41333333333333333)],[np.float64(0.37333333333333335)],[1],[0],[0],[1.0282150419952814],['target'],16,0,16,0,33.59270008301246,,10,33.58046783300233,33.59270008301246,33.59270008301246,0.021955040996544994,34.60873612501018,[np.float64(0.41333333333333333)],[np.float64(0.37333333333333335)],[1],[0],[0],[1.0282150419952814],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
17,0,17,[np.float64(-0.07)],[np.float64(-0.3655555555555556)],[1],[0],[0],[2.0775659159990028],['target'],17,0,17,0,34.642885541004944,,10,34.63080979100778,34.642885541004944,34.642885541004944,0.021898749997490086,36.708419416012475,[np.float64(-0.07)],[np.float64(-0.3655555555555556)],[1],[0],[0],[2.0775659159990028],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
18,0,18,[np.float64(-0.44)],[np.float64(0.09111111111111111)],[1],[0],[0],[2.4223625409940723],['target'],18,0,18,0,36.72992162501032,,5,36.71995566600526,36.72992162501032,36.72992162501032,0.011382958997273818,39.142400625001756,[np.float64(-0.44)],[np.float64(0.09111111111111111)],[1],[0],[0],[2.4223625409940723],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
19,0,19,[np.float64(-0.38)],[np.float64(0.13444444444444445)],[1],[0],[0],[1.2683260000048904],['target'],19,0,19,0,39.16995962501096,,5,39.15872808301356,39.16995962501096,39.16995962501096,0.016125082998769358,40.42712283300352,[np.float64(-0.38)],[np.float64(0.13444444444444445)],[1],[0],[0],[1.2683260000048904],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
20,0,20,[np.float64(0.4811111111111111)],[np.float64(-0.39111111111111113)],[1],[0],[0],[3.248070415997063],['target'],20,0,20,0,40.45529433300544,,5,40.444499416000326,40.45529433300544,40.45529433300544,0.017179625006974675,43.69263425000827,[np.float64(0.4811111111111111)],[np.float64(-0.39111111111111113)],[1],[0],[0],[3.248070415997063],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
21,0,21,[np.float64(-0.3277777777777778)],[np.float64(0.29444444444444445)],[1],[0],[0],[2.9216292499913834],['target'],21,0,21,0,43.73394133300462,,10,43.71991870801139,43.73394133300462,43.73394133300462,0.027079458988737315,46.64159725001082,[np.float64(-0.3277777777777778)],[np.float64(0.29444444444444445)],[1],[0],[0],[2.9216292499913834],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
22,0,22,[np.float64(-0.051111111111111114)],[np.float64(-0.4411111111111111)],[1],[0],[0],[2.7561455000104615],['target'],22,0,22,0,46.66414445800183,,5,46.65411991601286,46.66414445800183,46.66414445800183,0.01234808299341239,49.41034716600552,[np.float64(-0.051111111111111114)],[np.float64(-0.4411111111111111)],[1],[0],[0],[2.7561455000104615],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
23,0,23,[np.float64(-0.057777777777777775)],[np.float64(0.2866666666666667)],[1],[0],[0],[1.7833739159977995],['target'],23,0,23,0,49.43746433300839,,5,49.42630429100245,49.43746433300839,49.43746433300839,0.015757625005790032,51.209751375005,[np.float64(-0.057777777777777775)],[np.float64(0.2866666666666667)],[1],[0],[0],[1.7833739159977995],['target'],P3,001,2025-09-30_15h48.15.179,VisualSearch_NupurShah,,2025.1.1,119.93020110369496,2025-09-30 15h48.29.379793 +0530,
