study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
book,0,0,0,1.1377777777777778,2.1018545409897342,,,,,,,,,,,,0,0,0,0,,,,,0.04814616698422469,,0.022465416986960918,0.04814616698422469,0.04814616698422469,2.13351687497925,1.1377777777777778,2.1018545409897342,,,,,,,,,,,,,,,Participant4,001,2025-10-16_10h58.09.327,WordPriming_NupurShah,,2025.1.1,120.21669056932754,2025-10-16 10h58.25.684626 +0530,
Cruise,1,1,0,1.1244444444444444,1.0950109160039574,,,,,,,,,,,,0,1,1,11,,,,,2.1481914589821827,,2.137602208997123,2.1481914589821827,2.1481914589821827,3.2413672089751344,1.1244444444444444,1.0950109160039574,,,,,,,,,,,,,,,Participant4,001,2025-10-16_10h58.09.327,WordPriming_NupurShah,,2025.1.1,120.21669056932754,2025-10-16 10h58.25.684626 +0530,
Pastry,2,2,0,1.1244444444444444,0.7876218330056872,,,,,,,,,,,,0,2,2,9,,,,,3.254526459000772,,3.245349708973663,3.254526459000772,3.254526459000772,4.041120749985566,1.1244444444444444,0.7876218330056872,,,,,,,,,,,,,,,Participant4,001,2025-10-16_10h58.09.327,WordPriming_NupurShah,,2025.1.1,120.21669056932754,2025-10-16 10h58.25.684626 +0530,
mouse,3,3,0,1.1244444444444444,0.6708462499955203,,,,,,,,,,,,0,3,3,8,,,,,4.051880708982935,,4.0434319589985535,4.051880708982935,4.051880708982935,4.730115833983291,1.1244444444444444,0.6708462499955203,,,,,,,,,,,,,,,Participant4,001,2025-10-16_10h58.09.327,WordPriming_NupurShah,,2025.1.1,120.21669056932754,2025-10-16 10h58.25.684626 +0530,
marble,4,4,0,1.1244444444444444,0.7089033339871094,,,,,,,,,,,,0,4,4,3,,,,,4.740801249979995,,4.732415416976437,4.740801249979995,4.740801249979995,5.45037404197501,1.1244444444444444,0.7089033339871094,,,,,,,,,,,,,,,Participant4,001,2025-10-16_10h58.09.327,WordPriming_NupurShah,,2025.1.1,120.21669056932754,2025-10-16 10h58.25.684626 +0530,
cushion,5,5,0,1.1244444444444444,2.053919917001622,,,,,,,,,,,,0,5,5,1,,,,,5.463467124995077,,5.454080541996518,5.463467124995077,5.463467124995077,7.517809833982028,1.1244444444444444,2.053919917001622,,,,,,,,,,,,,,,Participant4,001,2025-10-16_10h58.09.327,WordPriming_NupurShah,,2025.1.1,120.21669056932754,2025-10-16 10h58.25.684626 +0530,
Chart,6,6,0,1.1244444444444444,0.8609836660034489,,,,,,,,,,,,0,6,6,6,,,,,7.529411583993351,,7.520036208996316,7.529411583993351,7.529411583993351,8.390116833994398,1.1244444444444444,0.8609836660034489,,,,,,,,,,,,,,,Participant4,001,2025-10-16_10h58.09.327,WordPriming_NupurShah,,2025.1.1,120.21669056932754,2025-10-16 10h58.25.684626 +0530,
Keys ,7,7,0,1.1244444444444444,0.9314772920042742,,,,,,,,,,,,0,7,7,13,,,,,8.401796791993547,,8.393238958989969,8.401796791993547,8.401796791993547,9.334207958978368,1.1244444444444444,0.9314772920042742,,,,,,,,,,,,,,,Participant4,001,2025-10-16_10h58.09.327,WordPriming_NupurShah,,2025.1.1,120.21669056932754,2025-10-16 10h58.25.684626 +0530,
Laptop,8,8,0,1.1244444444444444,0.6758110410009976,,,,,,,,,,,,0,8,8,5,,,,,9.348051166976802,,9.33803012498538,9.348051166976802,9.348051166976802,10.022464249981567,1.1244444444444444,0.6758110410009976,,,,,,,,,,,,,,,Participant4,001,2025-10-16_10h58.09.327,WordPriming_NupurShah,,2025.1.1,120.21669056932754,2025-10-16 10h58.25.684626 +0530,
Police,9,9,0,1.1244444444444444,0.6250508340017404,,,,,,,,,,,,0,9,9,12,,,,,10.034088291984517,,10.024834624986397,10.034088291984517,10.034088291984517,10.659016499994323,1.1244444444444444,0.6250508340017404,,,,,,,,,,,,,,,Participant4,001,2025-10-16_10h58.09.327,WordPriming_NupurShah,,2025.1.1,120.21669056932754,2025-10-16 10h58.25.684626 +0530,
board,10,10,0,1.1244444444444444,0.5783837920171209,,,,,,,,,,,,0,10,10,4,,,,,10.67133129198919,,10.662110416975338,10.67133129198919,10.67133129198919,11.250029958988307,1.1244444444444444,0.5783837920171209,,,,,,,,,,,,,,,Participant4,001,2025-10-16_10h58.09.327,WordPriming_NupurShah,,2025.1.1,120.21669056932754,2025-10-16 10h58.25.684626 +0530,
T-shirt,11,11,0,1.1244444444444444,1.3974753329821397,,,,,,,,,,,,0,11,11,7,,,,,11.263419666996924,,11.25361499999417,11.263419666996924,11.263419666996924,12.664174916979391,1.1244444444444444,1.3974753329821397,,,,,,,,,,,,,,,Participant4,001,2025-10-16_10h58.09.327,WordPriming_NupurShah,,2025.1.1,120.21669056932754,2025-10-16 10h58.25.684626 +0530,
