pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.4637515820068074,None,0,0,0,0,,,,,0.02905737499531824,,0.020679374996689148,0.02905737499531824,1.0130907080019824,1.0130907080019824,1.0130907080019824,1.0130907080019824,1.0185627909959294,1.9996918749966426,1.9996918749966426,3.686857749999035,x,1,1.4637515820068074,None,,,,,parti5,001,2025-10-02_16h41.27.841,MotorSequenceLearning_NupurShah,,2025.1.1,118.38715263862605,2025-10-02 16h41.40.622515 +0530,
150,v,1,1,0,v,1,0.26614654099103063,None,0,1,1,1,,,,,3.700883832992986,,3.6871309580019442,3.700883832992986,4.680952790993615,4.680952790993615,4.680952790993615,4.680952790993615,4.6976199579949025,5.681387457996607,5.681387457996607,5.949400333003723,v,1,0.26614654099103063,None,,,,,parti5,001,2025-10-02_16h41.27.841,MotorSequenceLearning_NupurShah,,2025.1.1,118.38715263862605,2025-10-02 16h41.40.622515 +0530,
50,c,2,2,0,c,1,0.3182306660019094,None,0,2,2,2,,,,,5.960246083006496,,5.949972832997446,5.960246083006496,6.948107541000354,6.948107541000354,6.948107541000354,6.948107541000354,6.955419999998412,7.948087875003694,7.948087875003694,8.273914332996355,c,1,0.3182306660019094,None,,,,,parti5,001,2025-10-02_16h41.27.841,MotorSequenceLearning_NupurShah,,2025.1.1,118.38715263862605,2025-10-02 16h41.40.622515 +0530,
-150,z,3,3,0,z,1,1.458896456999355,None,0,3,3,3,,,,,8.298369458003435,,8.274437250001938,8.298369458003435,9.273256790998857,9.273256790998857,9.273256790998857,9.273256790998857,9.289327833001153,10.2725760829926,10.2725760829926,11.732585958001437,z,1,1.458896456999355,None,,,,,parti5,001,2025-10-02_16h41.27.841,MotorSequenceLearning_NupurShah,,2025.1.1,118.38715263862605,2025-10-02 16h41.40.622515 +0530,
-50,x,4,0,1,x,1,0.2989033740013838,None,1,0,4,0,,,,,11.756035166006768,,11.73308041600103,11.756035166006768,12.724487832994782,12.724487832994782,12.724487832994782,12.724487832994782,12.748184957992635,13.723567791006644,13.723567791006644,14.032922957994742,x,1,0.2989033740013838,None,,,,,parti5,001,2025-10-02_16h41.27.841,MotorSequenceLearning_NupurShah,,2025.1.1,118.38715263862605,2025-10-02 16h41.40.622515 +0530,
150,v,5,1,1,v,1,0.8139162909938022,None,1,1,5,1,,,,,14.042888915995718,,14.033433207994676,14.042888915995718,15.03161070799979,15.03161070799979,15.03161070799979,15.03161070799979,15.039202625004691,16.031525540995062,16.031525540995062,16.84948533300485,v,1,0.8139162909938022,None,,,,,parti5,001,2025-10-02_16h41.27.841,MotorSequenceLearning_NupurShah,,2025.1.1,118.38715263862605,2025-10-02 16h41.40.622515 +0530,
50,c,6,2,1,c,1,0.3582598740031244,None,1,2,6,2,,,,,16.859217958000954,,16.849983833002625,16.859217958000954,17.840590666004573,17.840590666004573,17.840590666004573,17.840590666004573,17.85582116599835,18.8402367499948,18.8402367499948,19.20697095799551,c,1,0.3582598740031244,None,,,,,parti5,001,2025-10-02_16h41.27.841,MotorSequenceLearning_NupurShah,,2025.1.1,118.38715263862605,2025-10-02 16h41.40.622515 +0530,
-150,z,7,3,1,z,1,0.3439709570084233,None,1,3,7,3,,,,,19.231511958001647,,19.20747645800293,19.231511958001647,20.208014165997156,20.208014165997156,20.208014165997156,20.208014165997156,20.223956707995967,21.207481624995125,21.207481624995125,21.556515749995015,z,1,0.3439709570084233,None,,,,,parti5,001,2025-10-02_16h41.27.841,MotorSequenceLearning_NupurShah,,2025.1.1,118.38715263862605,2025-10-02 16h41.40.622515 +0530,
-50,x,8,0,2,x,1,0.5744147499935934,None,2,0,8,0,,,,,21.56643283300218,,21.55704054099624,21.56643283300218,22.547819625004195,22.547819625004195,22.547819625004195,22.547819625004195,22.565005124997697,23.557018124993192,23.557018124993192,24.133334333004314,x,1,0.5744147499935934,None,,,,,parti5,001,2025-10-02_16h41.27.841,MotorSequenceLearning_NupurShah,,2025.1.1,118.38715263862605,2025-10-02 16h41.40.622515 +0530,
150,v,9,1,2,v,1,0.3179187909991015,None,2,1,9,1,,,,,24.14398708299268,,24.13393037499918,24.14398708299268,25.131823791001807,25.131823791001807,25.131823791001807,25.131823791001807,25.139466624998022,26.13130091599305,26.13130091599305,26.457436665994464,v,1,0.3179187909991015,None,,,,,parti5,001,2025-10-02_16h41.27.841,MotorSequenceLearning_NupurShah,,2025.1.1,118.38715263862605,2025-10-02 16h41.40.622515 +0530,
