thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.18666666666666668)],[np.float64(0.34555555555555556)],[1],[0],[0],[2.8430976669915253],['target'],0,0,0,0,0.0511348750005709,,5,0.034741875002509914,0.0511348750005709,0.0511348750005709,0.034761791001074016,2.8779217499977676,[np.float64(0.18666666666666668)],[np.float64(0.34555555555555556)],[1],[0],[0],[2.8430976669915253],['target'],P4,001,2025-09-30_15h57.27.473,VisualSearch_NupurShah,,2025.1.1,119.11769571351752,2025-09-30 15h57.40.045619 +0530,
1,0,1,[np.float64(0.25)],[np.float64(-0.15444444444444444)],[1],[0],[0],[3.766912624996621],['target'],1,0,1,0,2.9041405000025406,,5,2.893049375008559,2.9041405000025406,2.9041405000025406,0.014880458998959512,6.6600448329991195,[np.float64(0.25)],[np.float64(-0.15444444444444444)],[1],[0],[0],[3.766912624996621],['target'],P4,001,2025-09-30_15h57.27.473,VisualSearch_NupurShah,,2025.1.1,119.11769571351752,2025-09-30 15h57.40.045619 +0530,
2,0,2,[np.float64(0.14888888888888888)],[np.float64(0.20555555555555555)],[1],[0],[0],[2.6811218749935506],['target'],2,0,2,0,6.688324708011351,,5,6.677336083012051,6.688324708011351,6.688324708011351,0.017086417006794363,9.358527333009988,[np.float64(0.14888888888888888)],[np.float64(0.20555555555555555)],[1],[0],[0],[2.6811218749935506],['target'],P4,001,2025-09-30_15h57.27.473,VisualSearch_NupurShah,,2025.1.1,119.11769571351752,2025-09-30 15h57.40.045619 +0530,
3,0,3,[np.float64(0.19333333333333333)],[np.float64(-0.32222222222222224)],[1],[0],[0],[3.0525297499989392],['target'],3,0,3,0,9.40300229100103,,10,9.388302874998772,9.40300229100103,9.40300229100103,0.02956925000762567,12.440877375003765,[np.float64(0.19333333333333333)],[np.float64(-0.32222222222222224)],[1],[0],[0],[3.0525297499989392],['target'],P4,001,2025-09-30_15h57.27.473,VisualSearch_NupurShah,,2025.1.1,119.11769571351752,2025-09-30 15h57.40.045619 +0530,
4,0,4,[np.float64(-0.12222222222222222)],[np.float64(-0.3566666666666667)],[1],[0],[0],[2.505446708004456],['target'],4,0,4,0,12.462779250010499,,5,12.45274233300006,12.462779250010499,12.462779250010499,0.011688083002809435,14.95826733300055,[np.float64(-0.12222222222222222)],[np.float64(-0.3566666666666667)],[1],[0],[0],[2.505446708004456],['target'],P4,001,2025-09-30_15h57.27.473,VisualSearch_NupurShah,,2025.1.1,119.11769571351752,2025-09-30 15h57.40.045619 +0530,
5,0,5,[np.float64(0.29555555555555557)],[np.float64(0.11333333333333333)],[1],[0],[0],[2.2525538750051055],['target'],5,0,5,0,14.984372750011971,,5,14.97315408301074,14.984372750011971,14.984372750011971,0.014680416003102437,17.225783458008664,[np.float64(0.29555555555555557)],[np.float64(0.11333333333333333)],[1],[0],[0],[2.2525538750051055],['target'],P4,001,2025-09-30_15h57.27.473,VisualSearch_NupurShah,,2025.1.1,119.11769571351752,2025-09-30 15h57.40.045619 +0530,
6,0,6,[np.float64(0.3522222222222222)],[np.float64(0.21888888888888888)],[1],[0],[0],[2.1674833330034744],[None],6,0,6,0,17.270954999999958,,10,17.256218333001016,17.270954999999958,17.270954999999958,0.030232375007472,19.42374408300384,[np.float64(0.3522222222222222)],[np.float64(0.21888888888888888)],[1],[0],[0],[2.1674833330034744],[None],P4,001,2025-09-30_15h57.27.473,VisualSearch_NupurShah,,2025.1.1,119.11769571351752,2025-09-30 15h57.40.045619 +0530,
7,0,7,[np.float64(-0.07555555555555556)],[np.float64(-0.22333333333333333)],[1],[0],[0],[1.9219107079989044],['target'],7,0,7,0,19.447191583007225,,5,19.436815500012017,19.447191583007225,19.447191583007225,0.012897334003355354,21.358807333002915,[np.float64(-0.07555555555555556)],[np.float64(-0.22333333333333333)],[1],[0],[0],[1.9219107079989044],['target'],P4,001,2025-09-30_15h57.27.473,VisualSearch_NupurShah,,2025.1.1,119.11769571351752,2025-09-30 15h57.40.045619 +0530,
8,0,8,[np.float64(-0.2822222222222222)],[np.float64(-0.08222222222222222)],[1],[0],[0],[3.7698786670080153],['target'],8,0,8,0,21.401761375003844,,10,21.38797950001026,21.401761375003844,21.401761375003844,0.028968750004423782,25.157905333006056,[np.float64(-0.2822222222222222)],[np.float64(-0.08222222222222222)],[1],[0],[0],[3.7698786670080153],['target'],P4,001,2025-09-30_15h57.27.473,VisualSearch_NupurShah,,2025.1.1,119.11769571351752,2025-09-30 15h57.40.045619 +0530,
9,0,9,[np.float64(0.017777777777777778)],[np.float64(-0.27444444444444444)],[1],[0],[0],[1.8948857079958543],['target'],9,0,9,0,25.191565375003847,,10,25.179402333000326,25.191565375003847,25.191565375003847,0.02131524999276735,27.074343166008475,[np.float64(0.017777777777777778)],[np.float64(-0.27444444444444444)],[1],[0],[0],[1.8948857079958543],['target'],P4,001,2025-09-30_15h57.27.473,VisualSearch_NupurShah,,2025.1.1,119.11769571351752,2025-09-30 15h57.40.045619 +0530,
