word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.016242375000729226,0.022207750000234228,1.0007251249990077,,,,,,,,,,,,,,,P1,001,2025-08-23_18h25.28.534,stroop effect,,2025.1.1,None,2025-08-23 18h25.54.428732 +0530,
Blue,blue,C,b,0,0,0,b,1,3.9985233749976032,None,0,0,0,3,1.0229773340033717,,,,,1.019567334005842,1.0229773340033717,1.4978504169994267,1.4978504169994267,1.4978504169994267,5.929465708999487,b,1,3.9985233749976032,None,,,,,P1,001,2025-08-23_18h25.28.534,stroop effect,,2025.1.1,None,2025-08-23 18h25.54.428732 +0530,
RED,red,C,r,1,1,0,r,1,1.4383703749990673,None,0,1,1,0,5.945642625003529,,,,,5.934062084001198,5.945642625003529,6.426012374999118,6.426012374999118,6.426012374999118,7.8682059589991695,r,1,1.4383703749990673,None,,,,,P1,001,2025-08-23_18h25.28.534,stroop effect,,2025.1.1,None,2025-08-23 18h25.54.428732 +0530,
RED,blue,I,b,2,2,0,b,1,1.3949094170020544,None,0,2,2,1,7.874860333999095,,,,,7.86865212500561,7.874860333999095,8.36460604199965,8.36460604199965,8.36460604199965,9.767993292000028,b,1,1.3949094170020544,None,,,,,P1,001,2025-08-23_18h25.28.534,stroop effect,,2025.1.1,None,2025-08-23 18h25.54.428732 +0530,
BLUE,red,I,r,3,3,0,r,1,2.353710625000531,None,0,3,3,2,9.7775398340018,,,,,9.772696584004734,9.7775398340018,10.26466979199904,10.26466979199904,10.26466979199904,12.623770042002434,r,1,2.353710625000531,None,,,,,P1,001,2025-08-23_18h25.28.534,stroop effect,,2025.1.1,None,2025-08-23 18h25.54.428732 +0530,
Blue,blue,C,b,4,0,1,b,1,1.0377071670009173,None,1,0,4,3,12.632279834004294,,,,,12.6260688340044,12.632279834004294,13.121724542004813,13.121724542004813,13.121724542004813,14.16798416700476,b,1,1.0377071670009173,None,,,,,P1,001,2025-08-23_18h25.28.534,stroop effect,,2025.1.1,None,2025-08-23 18h25.54.428732 +0530,
RED,red,C,r,5,1,1,r,1,0.941512083998532,None,1,1,5,0,14.176010209004744,,,,,14.170206041999336,14.176010209004744,14.664797167002689,14.664797167002689,14.664797167002689,15.6072567920055,r,1,0.941512083998532,None,,,,,P1,001,2025-08-23_18h25.28.534,stroop effect,,2025.1.1,None,2025-08-23 18h25.54.428732 +0530,
RED,blue,I,b,6,2,1,b,1,1.390692291999585,None,1,2,6,1,15.614886667004612,,,,,15.607691959005024,15.614886667004612,16.105848541999876,16.105848541999876,16.105848541999876,17.501818459000788,b,1,1.390692291999585,None,,,,,P1,001,2025-08-23_18h25.28.534,stroop effect,,2025.1.1,None,2025-08-23 18h25.54.428732 +0530,
BLUE,red,I,r,7,3,1,r,1,1.2339487920035026,None,1,3,7,2,17.51011741700495,,,,,17.504056417004904,17.51011741700495,17.998370209003042,17.998370209003042,17.998370209003042,19.235007292001683,r,1,1.2339487920035026,None,,,,,P1,001,2025-08-23_18h25.28.534,stroop effect,,2025.1.1,None,2025-08-23 18h25.54.428732 +0530,
BLUE,red,I,r,8,0,2,r,1,1.7599933339952258,None,2,0,8,2,19.239061167005275,,,,,19.23550470900227,19.239061167005275,19.731524959002854,19.731524959002854,19.731524959002854,21.501638375004404,r,1,1.7599933339952258,None,,,,,P1,001,2025-08-23_18h25.28.534,stroop effect,,2025.1.1,None,2025-08-23 18h25.54.428732 +0530,
