trialNum,validity,targetSide,cueDur_ms,SOA_ms,targetDur_ms,thisN,thisTrialN,thisRepN,response_key.keys,response_key.corr,response_key.rt,response_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,trial.started,left_box.started,right_box.started,fixation.started,cue_arrow.started,left_box.stopped,right_box.stopped,fixation.stopped,target.started,cue_arrow.stopped,response_key.started,trial.stopped,trials.response_key.keys,trials.response_key.corr,trials.response_key.rt,trials.response_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.009453709004446864,0.02253070898586884,0.02253070898586884,26.679976083978545,space,26.419863415998407,None,,,,,,,,,,,,,,,,,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
32,valid,right,150,150,1000,0,0,0,m,1,0.12186145799933001,None,0,0,0,31,26.73337299999548,,,,,,,,,26.71493370900862,26.73337299999548,26.73337299999548,26.73337299999548,27.177450124989264,27.228991083975416,27.228991083975416,27.228991083975416,27.272900875017513,27.323513583978638,27.47354679199634,27.597883916983847,m,1,0.12186145799933001,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
87,invalid,left,150,150,1000,1,1,0,z,1,0.1125562500092201,None,0,1,1,86,27.60899945901474,,,,,,,,,27.598701083974447,27.60899945901474,27.60899945901474,27.60899945901474,28.09673687501345,28.107061041984707,28.107061041984707,28.107061041984707,28.19384008401539,28.240547624998726,28.395698875014205,28.51457295898581,z,1,0.1125562500092201,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
22,valid,left,150,150,1000,2,2,0,z,1,0.09924408298684284,None,0,2,2,21,28.528104124998208,,,,,,,,,28.519966916996054,28.528104124998208,28.528104124998208,28.528104124998208,29.01456383400364,29.023270458972547,29.023270458972547,29.023270458972547,29.11440695897909,29.162713666970376,29.3131483339821,29.414376250002533,z,1,0.09924408298684284,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
46,invalid,right,50,150,1000,3,3,0,m,1,0.24629524996271357,None,0,3,3,45,29.439812833967153,,,,,,,,,29.415258791996166,29.439812833967153,29.439812833967153,29.439812833967153,29.913367333996575,29.92991979198996,29.92991979198996,29.92991979198996,30.01399470900651,29.956796500016935,30.113096833985765,30.364493749977555,m,1,0.24629524996271357,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
37,valid,left,100,150,1000,4,4,0,z,1,0.12041816604323685,None,0,4,4,36,30.389931334007997,,,,,,,,,30.365439167013392,30.389931334007997,30.389931334007997,30.389931334007997,30.86323449999327,30.879371292016003,30.879371292016003,30.879371292016003,30.963350959005766,30.956994791980833,31.112884667003527,31.24193983396981,z,1,0.12041816604323685,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
92,invalid,right,100,150,1000,5,5,0,z,1,0.15935245802393183,None,0,5,5,91,31.251460209023207,,,,,,,,,31.242848749971017,31.251460209023207,31.251460209023207,31.251460209023207,31.740517875005025,31.7464010840049,31.7464010840049,31.7464010840049,31.840311708976515,31.828996666998137,31.98999754199758,32.15896991698537,z,1,0.15935245802393183,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
12,invalid,right,50,150,1000,6,6,0,m,1,0.3657544999732636,None,0,6,6,11,32.17051341698971,,,,,,,,,32.16011754202191,32.17051341698971,32.17051341698971,32.17051341698971,32.65660587500315,32.66265695897164,32.66265695897164,32.66265695897164,32.75687616696814,32.695228083990514,32.8566728340229,33.22524258401245,m,1,0.3657544999732636,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
44,invalid,left,50,150,1000,7,7,0,z,1,0.3337654159986414,None,0,7,7,43,33.23884766700212,,,,,,,,,33.23009320901474,33.23884766700212,33.23884766700212,33.23884766700212,33.72330279200105,33.72890970896697,33.72890970896697,33.72890970896697,33.82358312502038,33.76227912498871,33.923534958972596,34.25873183400836,z,1,0.3337654159986414,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
79,invalid,left,150,150,1000,8,8,0,z,1,0.29738170898053795,None,0,8,8,78,34.26864220900461,,,,,,,,,34.25965541700134,34.26864220900461,34.26864220900461,34.26864220900461,34.756831333972514,34.76363612501882,34.76363612501882,34.76363612501882,34.85670016700169,34.89588475000346,35.057116459007375,35.35883983399253,z,1,0.29738170898053795,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
