reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49.0,60.0,89.0,0,0,0,t,2.2302957079955377,None,0,0,0,4,0.09121425001649186,,0.08395954204024747,0.09121425001649186,1.0071941670030355,1.0071941670030355,1.082348500029184,3.5670522920554504,t,2.2302957079955377,None,Participant2,001,2025-11-05_11h24.45.567,DelayedDiscounting_NupurShah,,2025.1.1,None,2025-11-05 11h26.21.841683 +0530,
15.0,35.0,13.0,1,1,0,l,2.752116666000802,None,0,1,1,1,3.591318709019106,,3.572368875029497,3.591318709019106,4.566479542001616,4.566479542001616,4.581789959047455,7.328304042050149,l,2.752116666000802,None,Participant2,001,2025-11-05_11h24.45.567,DelayedDiscounting_NupurShah,,2025.1.1,None,2025-11-05 11h26.21.841683 +0530,
11.0,30.0,7.0,2,2,0,l,0.8711308329948224,None,0,2,2,0,7.346695417014416,,7.338015417044517,7.346695417014416,8.326396042015404,8.326396042015404,8.343254250008613,9.200416709005367,l,0.8711308329948224,None,Participant2,001,2025-11-05_11h24.45.567,DelayedDiscounting_NupurShah,,2025.1.1,None,2025-11-05 11h26.21.841683 +0530,
27.0,50.0,21.0,3,3,0,l,1.5140764999669045,None,0,3,3,2,9.23117004201049,,9.207966292044148,9.23117004201049,10.200437084014993,10.200437084014993,10.226553709013388,11.71792591700796,l,1.5140764999669045,None,Participant2,001,2025-11-05_11h24.45.567,DelayedDiscounting_NupurShah,,2025.1.1,None,2025-11-05 11h26.21.841683 +0530,
78.0,80.0,162.0,4,4,0,t,1.1151880829711445,None,0,4,4,6,11.732601167052053,,11.725167209049687,11.732601167052053,12.717461874999572,12.717461874999572,12.726397792052012,13.845268208999187,t,1.1151880829711445,None,Participant2,001,2025-11-05_11h24.45.567,DelayedDiscounting_NupurShah,,2025.1.1,None,2025-11-05 11h26.21.841683 +0530,
9.0,18.0,12.0,5,5,0,l,1.1424241660279222,None,0,5,5,8,13.864097542013042,,13.853661875007674,13.864097542013042,14.8431472920347,14.8431472920347,14.860088750021532,15.995482125028502,l,1.1424241660279222,None,Participant2,001,2025-11-05_11h24.45.567,DelayedDiscounting_NupurShah,,2025.1.1,None,2025-11-05 11h26.21.841683 +0530,
90.0,101.0,190.0,6,6,0,t,3.444058875029441,None,0,6,6,7,16.0117777090054,,16.003044709039386,16.0117777090054,16.99322637502337,16.99322637502337,17.00993150001159,20.445064084022306,t,3.444058875029441,None,Participant2,001,2025-11-05_11h24.45.567,DelayedDiscounting_NupurShah,,2025.1.1,None,2025-11-05 11h26.21.841683 +0530,
50.0,69.0,49.0,7,7,0,t,2.333210290991701,None,0,7,7,9,20.45985504204873,,20.451672584051266,20.45985504204873,21.443245250033215,21.443245250033215,21.449267584015615,23.778499542037025,t,2.333210290991701,None,Participant2,001,2025-11-05_11h24.45.567,DelayedDiscounting_NupurShah,,2025.1.1,None,2025-11-05 11h26.21.841683 +0530,
67.0,75.0,119.0,8,8,0,t,1.1877477090456523,None,0,8,8,5,23.793555209005717,,23.786062209052034,23.793555209005717,24.77655270905234,24.77655270905234,24.782612875045743,25.968147167004645,t,1.1877477090456523,None,Participant2,001,2025-11-05_11h24.45.567,DelayedDiscounting_NupurShah,,2025.1.1,None,2025-11-05 11h26.21.841683 +0530,
40.0,55.0,62.0,9,9,0,t,1.8908747079549357,None,0,9,9,3,25.98124720901251,,25.973870959016494,25.98124720901251,26.96857629204169,26.96857629204169,26.976540209027007,28.861892875051126,t,1.8908747079549357,None,Participant2,001,2025-11-05_11h24.45.567,DelayedDiscounting_NupurShah,,2025.1.1,None,2025-11-05 11h26.21.841683 +0530,
