thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.05)],[np.float64(0.39111111111111113)],[1],[0],[0],[3.50230599999486],['target'],0,0,0,0,0.05774183299217839,,10,0.039354041990009136,0.05774183299217839,0.05774183299217839,0.03937133301224094,3.5417380829894682,[np.float64(0.05)],[np.float64(0.39111111111111113)],[1],[0],[0],[3.50230599999486],['target'],P5,001,2025-09-30_16h08.11.941,VisualSearch_NupurShah,,2025.1.1,119.25649537560773,2025-09-30 16h08.26.814690 +0530,
1,0,1,[np.float64(-0.051111111111111114)],[np.float64(0.2088888888888889)],[1],[0],[0],[2.8244537499995204],['target'],1,0,1,0,3.5763337499956833,,10,3.5640437499969266,3.5763337499956833,3.5763337499956833,0.022056582994991913,6.388549249997595,[np.float64(-0.051111111111111114)],[np.float64(0.2088888888888889)],[1],[0],[0],[2.8244537499995204],['target'],P5,001,2025-09-30_16h08.11.941,VisualSearch_NupurShah,,2025.1.1,119.25649537560773,2025-09-30 16h08.26.814690 +0530,
2,0,2,[np.float64(-0.3566666666666667)],[np.float64(0.05555555555555555)],[1],[0],[0],[2.096045917001902],['target'],2,0,2,0,6.423260791998473,,10,6.410936332991696,6.423260791998473,6.423260791998473,0.022204207998584025,8.50704583300103,[np.float64(-0.3566666666666667)],[np.float64(0.05555555555555555)],[1],[0],[0],[2.096045917001902],['target'],P5,001,2025-09-30_16h08.11.941,VisualSearch_NupurShah,,2025.1.1,119.25649537560773,2025-09-30 16h08.26.814690 +0530,
3,0,3,[np.float64(0.10777777777777778)],[np.float64(-0.36777777777777776)],[1],[0],[0],[3.0685001669917256],['target'],3,0,3,0,8.530980457988335,,5,8.520299749987316,8.530980457988335,8.530980457988335,0.013045208004768938,11.58888445798948,[np.float64(0.10777777777777778)],[np.float64(-0.36777777777777776)],[1],[0],[0],[3.0685001669917256],['target'],P5,001,2025-09-30_16h08.11.941,VisualSearch_NupurShah,,2025.1.1,119.25649537560773,2025-09-30 16h08.26.814690 +0530,
4,0,4,[np.float64(0.022222222222222223)],[np.float64(0.1988888888888889)],[1],[0],[0],[3.222229375009192],['target'],4,0,4,0,11.630578582989983,,10,11.615971749997698,11.630578582989983,11.630578582989983,0.026875416006078012,14.838258457995835,[np.float64(0.022222222222222223)],[np.float64(0.1988888888888889)],[1],[0],[0],[3.222229375009192],['target'],P5,001,2025-09-30_16h08.11.941,VisualSearch_NupurShah,,2025.1.1,119.25649537560773,2025-09-30 16h08.26.814690 +0530,
5,0,5,[np.float64(0.11666666666666667)],[np.float64(0.33444444444444443)],[1],[0],[0],[3.2239554170082556],['target'],5,0,5,0,14.860715582995908,,5,14.850590916990768,14.860715582995908,14.860715582995908,0.01213729199662339,18.074633332988014,[np.float64(0.11666666666666667)],[np.float64(0.33444444444444443)],[1],[0],[0],[3.2239554170082556],['target'],P5,001,2025-09-30_16h08.11.941,VisualSearch_NupurShah,,2025.1.1,119.25649537560773,2025-09-30 16h08.26.814690 +0530,
6,0,6,[np.float64(0.10777777777777778)],[np.float64(0.3433333333333333)],[1],[0],[0],[1.4309169579937588],['target'],6,0,6,0,18.10355095799605,,5,18.09197129200038,18.10355095799605,18.10355095799605,0.0170710840029642,19.52296674999525,[np.float64(0.10777777777777778)],[np.float64(0.3433333333333333)],[1],[0],[0],[1.4309169579937588],['target'],P5,001,2025-09-30_16h08.11.941,VisualSearch_NupurShah,,2025.1.1,119.25649537560773,2025-09-30 16h08.26.814690 +0530,
7,0,7,[np.float64(-0.12666666666666668)],[np.float64(0.24222222222222223)],[1],[0],[0],[1.9997166250104783],['target'],7,0,7,0,19.55079549999209,,5,19.540194582994445,19.55079549999209,19.55079549999209,0.017006790993036702,21.539982582995435,[np.float64(-0.12666666666666668)],[np.float64(0.24222222222222223)],[1],[0],[0],[1.9997166250104783],['target'],P5,001,2025-09-30_16h08.11.941,VisualSearch_NupurShah,,2025.1.1,119.25649537560773,2025-09-30 16h08.26.814690 +0530,
8,0,8,[np.float64(-0.11)],[np.float64(-0.4866666666666667)],[1],[0],[0],[2.96812074999616],['target'],8,0,8,0,21.584646916991915,,10,21.570701499993447,21.584646916991915,21.584646916991915,0.030511166012729518,24.538875416998053,[np.float64(-0.11)],[np.float64(-0.4866666666666667)],[1],[0],[0],[2.96812074999616],['target'],P5,001,2025-09-30_16h08.11.941,VisualSearch_NupurShah,,2025.1.1,119.25649537560773,2025-09-30 16h08.26.814690 +0530,
9,0,9,[np.float64(0.05555555555555555)],[np.float64(-0.11444444444444445)],[1],[0],[0],[2.9708293339936063],['target'],9,0,9,0,24.561762541998178,,5,24.55174908299523,24.561762541998178,24.561762541998178,0.012694207995082252,27.52265995799098,[np.float64(0.05555555555555555)],[np.float64(-0.11444444444444445)],[1],[0],[0],[2.9708293339936063],['target'],P5,001,2025-09-30_16h08.11.941,VisualSearch_NupurShah,,2025.1.1,119.25649537560773,2025-09-30 16h08.26.814690 +0530,
