pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,2.5247505829902366,None,0,0,0,0,,,,,0.029308583005331457,,0.02018904100987129,0.029308583005331457,1.241988207999384,1.241988207999384,1.241988207999384,1.241988207999384,1.246794457998476,2.003094958010479,2.003094958010479,4.892749625010765,x,1,2.5247505829902366,None,,,,,parti1,001,2025-10-02_14h28.37.713,MotorSequenceLearning_NupurShah,,2025.1.1,120.37062114096888,2025-10-02 14h30.25.862269 +0530,
150,v,1,1,0,v,1,2.1786814580118516,None,0,1,1,1,,,,,4.907099083007779,,4.893040583003312,4.907099083007779,5.88460308300273,5.88460308300273,5.88460308300273,5.88460308300273,5.899774582998361,6.884283166000387,6.884283166000387,9.067402291009785,v,1,2.1786814580118516,None,,,,,parti1,001,2025-10-02_14h28.37.713,MotorSequenceLearning_NupurShah,,2025.1.1,120.37062114096888,2025-10-02 14h30.25.862269 +0530,
50,c,2,2,0,c,1,1.8983102909987792,None,0,2,2,2,,,,,9.077649666010984,,9.067924625007436,9.077649666010984,10.068072833004408,10.068072833004408,10.068072833004408,10.068072833004408,10.076043291002861,11.066654833004577,11.066654833004577,12.967515625001397,c,1,1.8983102909987792,None,,,,,parti1,001,2025-10-02_14h28.37.713,MotorSequenceLearning_NupurShah,,2025.1.1,120.37062114096888,2025-10-02 14h30.25.862269 +0530,
-150,z,3,3,0,z,1,0.9444315409928095,None,0,3,3,3,,,,,12.97824454100919,,12.96810241600906,12.97824454100919,13.968084166001063,13.968084166001063,13.968084166001063,13.968084166001063,13.976123250002274,14.966646000000765,14.966646000000765,15.917509291000897,z,1,0.9444315409928095,None,,,,,parti1,001,2025-10-02_14h28.37.713,MotorSequenceLearning_NupurShah,,2025.1.1,120.37062114096888,2025-10-02 14h30.25.862269 +0530,
-50,x,4,0,1,x,1,3.411076916003367,None,1,0,4,0,,,,,15.942488500004401,,15.918130874997587,15.942488500004401,16.91786983300699,16.91786983300699,16.91786983300699,16.91786983300699,16.93317829100124,17.917335208010627,17.917335208010627,21.33471241600637,x,1,3.411076916003367,None,,,,,parti1,001,2025-10-02_14h28.37.713,MotorSequenceLearning_NupurShah,,2025.1.1,120.37062114096888,2025-10-02 14h30.25.862269 +0530,
150,v,5,1,1,v,1,2.6073372079990804,None,1,1,5,1,,,,,21.344689791003475,,21.33523837500252,21.344689791003475,22.334805874997983,22.334805874997983,22.334805874997983,22.334805874997983,22.34202270800597,23.333666208010982,23.333666208010982,25.943941582998377,v,1,2.6073372079990804,None,,,,,parti1,001,2025-10-02_14h28.37.713,MotorSequenceLearning_NupurShah,,2025.1.1,120.37062114096888,2025-10-02 14h30.25.862269 +0530,
50,c,6,2,1,c,1,2.321966290997807,None,1,2,6,2,,,,,25.95345070800977,,25.944443875006982,25.95345070800977,26.93532420801057,26.93532420801057,26.93532420801057,26.93532420801057,26.95076529101061,27.942504250007914,27.942504250007914,30.26833604100102,c,1,2.321966290997807,None,,,,,parti1,001,2025-10-02_14h28.37.713,MotorSequenceLearning_NupurShah,,2025.1.1,120.37062114096888,2025-10-02 14h30.25.862269 +0530,
-150,z,7,3,1,z,1,1.2226220409938833,None,1,3,7,3,,,,,30.278747375006787,,30.268937291009934,30.278747375006787,31.268274083005963,31.268274083005963,31.268274083005963,31.268274083005963,31.276052000001073,32.268302333002794,32.268302333002794,33.494191833000514,z,1,1.2226220409938833,None,,,,,parti1,001,2025-10-02_14h28.37.713,MotorSequenceLearning_NupurShah,,2025.1.1,120.37062114096888,2025-10-02 14h30.25.862269 +0530,
-50,x,8,0,2,x,1,1.6474915409926325,None,2,0,8,0,,,,,33.50426512501144,,33.49470516599831,33.50426512501144,34.4924247910094,34.4924247910094,34.4924247910094,34.4924247910094,34.500561958004255,35.492624375008745,35.492624375008745,37.14402333300677,x,1,1.6474915409926325,None,,,,,parti1,001,2025-10-02_14h28.37.713,MotorSequenceLearning_NupurShah,,2025.1.1,120.37062114096888,2025-10-02 14h30.25.862269 +0530,
150,v,9,1,2,v,1,2.518523082995671,None,2,1,9,1,,,,,37.15355350000027,,37.144539000000805,37.15355350000027,38.14302245801082,38.14302245801082,38.14302245801082,38.14302245801082,38.15081591600028,39.14223829100956,39.14223829100956,41.66944716600119,v,1,2.518523082995671,None,,,,,parti1,001,2025-10-02_14h28.37.713,MotorSequenceLearning_NupurShah,,2025.1.1,120.37062114096888,2025-10-02 14h30.25.862269 +0530,
50,c,10,2,2,c,1,3.3494044989929534,None,2,2,10,2,,,,,41.679317083006026,,41.66996729100356,41.679317083006026,42.66853300000366,42.66853300000366,42.66853300000366,42.66853300000366,42.67627304099733,43.66749508300563,43.66749508300563,47.027907374998904,c,1,3.3494044989929534,None,,,,,parti1,001,2025-10-02_14h28.37.713,MotorSequenceLearning_NupurShah,,2025.1.1,120.37062114096888,2025-10-02 14h30.25.862269 +0530,
-150,z,11,3,2,z,1,2.7585541659937007,None,2,3,11,3,,,,,47.03811104100896,,47.0285037910071,47.03811104100896,48.02644933300326,48.02644933300326,48.02644933300326,48.02644933300326,48.034002790998784,49.026339625008404,49.026339625008404,51.794691415998386,z,1,2.7585541659937007,None,,,,,parti1,001,2025-10-02_14h28.37.713,MotorSequenceLearning_NupurShah,,2025.1.1,120.37062114096888,2025-10-02 14h30.25.862269 +0530,
-50,x,12,0,3,c,0,2.7944936249987222,None,3,0,12,0,,,,,51.805552999998326,,51.79531808300817,51.805552999998326,52.79255166600342,52.79255166600342,52.79255166600342,52.79255166600342,52.79995370800316,53.792489041006775,53.792489041006775,56.59450491600728,c,0,2.7944936249987222,None,,,,,parti1,001,2025-10-02_14h28.37.713,MotorSequenceLearning_NupurShah,,2025.1.1,120.37062114096888,2025-10-02 14h30.25.862269 +0530,
